image1_path,image2_path,confidence
../data/raw/worms/extracted/20250318/image_00075.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00076.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00077.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00078.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00079.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00080.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00081.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00082.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00083.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00084.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00085.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00086.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00087.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00088.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00089.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00090.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00091.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00092.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00093.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00094.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00095.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00096.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00097.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00098.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00099.npy,Not enough keypoints in query image,0.0000
../data/raw/worms/extracted/20250318/image_00100.npy,Not enough keypoints in query image,0.0000
